#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,Button Down,End of File
96,03-18-2023 03:50:00,20.01,26.26,0.08,,,
97,03-18-2023 04:00:00,20.00,26.40,0.14,,,
98,03-18-2023 04:10:00,20.00,26.48,0.18,,,
99,03-18-2023 04:20:00,20.01,26.48,0.19,,,
100,03-18-2023 04:30:00,19.97,26.33,0.07,,,
101,03-18-2023 04:40:00,20.00,26.50,0.19,,,
102,03-18-2023 04:50:00,19.98,26.55,0.20,,,
103,03-18-2023 05:00:00,19.99,26.75,0.31,,,
104,03-18-2023 05:10:00,20.00,26.78,0.34,,,
105,03-18-2023 05:20:00,20.01,26.88,0.40,,,
106,03-18-2023 05:30:00,20.00,27.22,0.56,,,
107,03-18-2023 05:40:00,20.02,27.70,0.82,,,
108,03-18-2023 05:50:00,20.04,28.09,1.03,,,
109,03-18-2023 06:00:00,20.03,28.27,1.11,,,
110,03-18-2023 06:10:00,22.21,25.98,1.80,,,
111,03-18-2023 06:20:00,28.90,18.97,2.96,,,
112,03-18-2023 06:30:00,30.53,17.03,2.76,,,
113,03-18-2023 06:40:00,30.54,16.87,2.64,,,
114,03-18-2023 06:50:00,30.49,16.68,2.43,,,
115,03-18-2023 07:00:00,30.48,16.54,2.30,,,
116,03-18-2023 07:10:00,30.47,16.55,2.31,,,
117,03-18-2023 07:20:00,30.45,16.47,2.22,,,
118,03-18-2023 07:30:00,30.41,16.32,2.07,,,
119,03-18-2023 07:40:00,30.42,16.16,1.93,,,
120,03-18-2023 07:50:00,30.40,16.20,1.95,,,
121,03-18-2023 08:00:00,30.35,16.29,1.99,,,
122,03-18-2023 08:10:00,30.37,16.38,2.08,,,
123,03-18-2023 08:20:00,30.33,16.44,2.10,,,
124,03-18-2023 08:30:00,30.40,16.47,2.19,,,
125,03-18-2023 08:40:00,30.36,16.50,2.18,,,
126,03-18-2023 08:50:00,30.37,16.55,2.23,,,
127,03-18-2023 09:00:00,30.38,16.62,2.30,,,
128,03-18-2023 09:10:00,30.38,16.70,2.36,,,
129,03-18-2023 09:20:00,30.36,16.70,2.35,,,
130,03-18-2023 09:30:00,30.38,16.67,2.34,,,
131,03-18-2023 09:40:00,30.35,16.65,2.29,,,
132,03-18-2023 09:50:00,30.34,16.62,2.26,,,
133,03-18-2023 10:00:00,30.33,16.46,2.11,,,
134,03-18-2023 10:10:00,30.35,16.39,2.08,,,
135,03-18-2023 10:20:00,30.33,16.32,2.00,,,
136,03-18-2023 10:30:00,30.33,16.44,2.10,,,
137,03-18-2023 10:40:00,30.35,16.71,2.35,,,
138,03-18-2023 10:50:00,30.34,16.64,2.28,,,
139,03-18-2023 11:00:00,30.33,16.64,2.27,,,
140,03-18-2023 11:10:00,30.34,16.44,2.11,,,
141,03-18-2023 11:20:00,30.37,16.43,2.12,,,
142,03-18-2023 11:30:00,30.33,16.35,2.02,,,
143,03-18-2023 11:40:00,30.35,16.14,1.86,,,
144,03-18-2023 11:50:00,30.35,16.06,1.79,,,
145,03-18-2023 12:00:00,30.37,15.85,1.62,,,
146,03-18-2023 12:10:00,30.35,15.99,1.73,,,
147,03-18-2023 12:20:00,30.36,15.91,1.67,,,
148,03-18-2023 12:30:00,30.35,15.84,1.60,,,
149,03-18-2023 12:40:00,30.39,15.72,1.52,,,
150,03-18-2023 12:50:00,30.37,15.57,1.37,,,
151,03-18-2023 13:00:00,30.38,15.46,1.28,,,
152,03-18-2023 13:10:00,30.37,16.06,1.81,,,
153,03-18-2023 13:20:00,30.35,16.83,2.45,,,
154,03-18-2023 13:30:00,30.37,17.29,2.84,,,
155,03-18-2023 13:40:00,30.37,17.52,3.02,,,
156,03-18-2023 13:50:00,30.36,17.56,3.05,,,
157,03-18-2023 14:00:00,30.37,17.68,3.16,,,
158,03-18-2023 14:10:00,30.39,18.00,3.43,,,
159,03-18-2023 14:20:00,30.37,18.12,3.50,,,
160,03-18-2023 14:30:00,30.36,18.13,3.51,,,
161,03-18-2023 14:40:00,30.37,17.83,3.28,,,
162,03-18-2023 14:50:00,30.37,17.65,3.13,,,
163,03-18-2023 15:00:00,30.36,17.47,2.98,,,
164,03-18-2023 15:10:00,30.37,17.68,3.16,,,
165,03-18-2023 15:20:00,30.36,17.56,3.05,,,
166,03-18-2023 15:30:00,30.37,17.44,2.96,,,
167,03-18-2023 15:40:00,30.38,17.34,2.89,,,
168,03-18-2023 15:50:00,30.38,17.26,2.83,,,
169,03-18-2023 16:00:00,30.37,16.97,2.58,,,
170,03-18-2023 16:10:00,30.36,16.73,2.37,,,
171,03-18-2023 16:20:00,30.38,16.58,2.26,,,
172,03-18-2023 16:30:00,30.37,16.37,2.07,,,
173,03-18-2023 16:40:00,30.35,16.17,1.88,,,
174,03-18-2023 16:50:00,30.37,16.08,1.82,,,
175,03-18-2023 17:00:00,30.33,15.99,1.71,,,
176,03-18-2023 17:10:00,30.35,15.88,1.63,,,
177,03-18-2023 17:20:00,30.34,15.87,1.61,,,
178,03-18-2023 17:30:00,30.35,15.84,1.60,,,
179,03-18-2023 17:40:00,30.37,15.81,1.59,,,
180,03-18-2023 17:50:00,30.36,15.76,1.54,,,
181,03-18-2023 18:00:00,30.34,15.63,1.40,,,
182,03-18-2023 18:10:00,30.35,15.46,1.26,,,
183,03-18-2023 18:20:00,30.33,15.37,1.16,,,
184,03-18-2023 18:30:00,30.35,15.32,1.13,,,
185,03-18-2023 18:40:00,30.34,15.34,1.14,,,
186,03-18-2023 18:50:00,30.35,15.41,1.22,,,
187,03-18-2023 19:00:00,30.33,15.41,1.20,,,
188,03-18-2023 19:10:00,30.37,15.34,1.16,,,
189,03-18-2023 19:20:00,30.35,15.30,1.12,,,
190,03-18-2023 19:30:00,30.34,15.31,1.11,,,
191,03-18-2023 19:40:00,30.36,15.25,1.07,,,
192,03-18-2023 19:50:00,30.34,15.23,1.04,,,
193,03-18-2023 20:00:00,30.36,15.29,1.12,,,
194,03-18-2023 20:10:00,30.38,15.43,1.26,,,
195,03-18-2023 20:20:00,30.35,15.48,1.27,,,
196,03-18-2023 20:30:00,30.38,15.55,1.36,,,
197,03-18-2023 20:40:00,30.39,15.57,1.39,,,
198,03-18-2023 20:50:00,30.33,15.56,1.33,,,
199,03-18-2023 21:00:00,30.37,15.58,1.38,,,
200,03-18-2023 21:10:00,30.36,15.56,1.36,,,
201,03-18-2023 21:20:00,30.34,15.53,1.32,,,
202,03-18-2023 21:30:00,30.35,15.52,1.31,,,
203,03-18-2023 21:40:00,30.37,15.49,1.30,,,
204,03-18-2023 21:50:00,30.33,15.54,1.31,,,
205,03-18-2023 22:00:00,30.35,15.53,1.32,,,
206,03-18-2023 22:10:00,27.84,16.76,0.37,,,
207,03-18-2023 22:20:00,20.78,23.66,-0.70,,,
208,03-18-2023 22:30:00,19.74,25.64,-0.48,,,
209,03-18-2023 22:40:00,19.79,25.65,-0.44,,,
210,03-18-2023 22:50:00,19.82,25.60,-0.44,,,
211,03-18-2023 23:00:00,19.88,25.54,-0.42,,,
212,03-18-2023 23:10:00,19.96,25.73,-0.25,,,
213,03-18-2023 23:20:00,19.92,25.57,-0.36,,,
214,03-18-2023 23:30:00,19.97,25.61,-0.30,,,
215,03-18-2023 23:40:00,19.96,25.68,-0.28,,,
216,03-18-2023 23:50:00,19.98,25.74,-0.23,,,
217,03-19-2023 00:00:00,19.96,25.80,-0.21,,,
218,03-19-2023 00:10:00,20.01,25.65,-0.25,,,
219,03-19-2023 00:20:00,20.02,25.64,-0.24,,,
220,03-19-2023 00:30:00,20.01,25.65,-0.25,,,
221,03-19-2023 00:40:00,20.01,25.75,-0.19,,,
222,03-19-2023 00:50:00,20.00,25.96,-0.09,,,
223,03-19-2023 01:00:00,20.01,26.15,0.02,,,
224,03-19-2023 01:10:00,20.01,26.26,0.08,,,
225,03-19-2023 01:20:00,19.99,26.44,0.15,,,
226,03-19-2023 01:30:00,20.02,26.70,0.31,,,
227,03-19-2023 01:40:00,20.04,26.72,0.34,,,
228,03-19-2023 01:50:00,20.05,26.81,0.40,,,
229,03-19-2023 02:00:00,20.03,26.98,0.47,,,
230,03-19-2023 02:10:00,20.05,27.22,0.61,,,
231,03-19-2023 02:20:00,20.04,27.13,0.55,,,
232,03-19-2023 02:30:00,20.01,27.10,0.51,,,
233,03-19-2023 02:40:00,20.02,26.85,0.39,,,
234,03-19-2023 02:50:00,20.04,26.70,0.33,,,
235,03-19-2023 03:00:00,20.01,26.45,0.18,,,
236,03-19-2023 03:10:00,20.05,26.36,0.16,,,
237,03-19-2023 03:20:00,20.05,26.48,0.23,,,
238,03-19-2023 03:30:00,20.05,26.33,0.15,,,
239,03-19-2023 03:40:00,20.02,26.39,0.15,,,
240,03-19-2023 03:50:00,20.01,26.15,0.02,,,
241,03-19-2023 04:00:00,20.03,26.23,0.08,,,
242,03-19-2023 04:10:00,20.02,26.34,0.13,,,
243,03-19-2023 04:20:00,19.98,26.78,0.32,,,
244,03-19-2023 04:30:00,20.03,27.14,0.55,,,
245,03-19-2023 04:40:00,20.01,27.33,0.63,,,
246,03-19-2023 04:50:00,20.03,27.37,0.67,,,
247,03-19-2023 05:00:00,20.03,27.39,0.67,,,
248,03-19-2023 05:10:00,20.06,27.51,0.76,,,
249,03-19-2023 05:20:00,20.02,27.55,0.75,,,
250,03-19-2023 05:30:00,20.02,27.53,0.73,,,
251,03-19-2023 05:40:00,20.02,27.48,0.71,,,
252,03-19-2023 05:50:00,20.03,27.51,0.74,,,
253,03-19-2023 06:00:00,20.04,27.72,0.85,,,
254,03-19-2023 06:10:00,22.31,25.63,1.69,,,
255,03-19-2023 06:20:00,28.88,18.74,2.77,,,
256,03-19-2023 06:30:00,30.55,16.84,2.62,,,
257,03-19-2023 06:40:00,30.50,16.51,2.29,,,
258,03-19-2023 06:50:00,30.47,16.37,2.15,,,
259,03-19-2023 07:00:00,30.44,16.47,2.21,,,
260,03-19-2023 07:10:00,30.46,16.31,2.09,,,
261,03-19-2023 07:20:00,30.46,16.35,2.13,,,
262,03-19-2023 07:30:00,30.40,16.26,2.01,,,
263,03-19-2023 07:40:00,30.41,16.25,2.00,,,
264,03-19-2023 07:50:00,30.40,16.23,1.98,,,
265,03-19-2023 08:00:00,30.40,16.17,1.93,,,
266,03-19-2023 08:10:00,30.35,16.25,1.95,,,
267,03-19-2023 08:20:00,30.34,16.19,1.89,,,
268,03-19-2023 08:30:00,30.34,16.29,1.98,,,
269,03-19-2023 08:40:00,30.37,16.23,1.95,,,
270,03-19-2023 08:50:00,30.36,16.20,1.92,,,
271,03-19-2023 09:00:00,30.39,16.26,2.00,,,
272,03-19-2023 09:10:00,30.36,16.38,2.07,,,
273,03-19-2023 09:20:00,30.37,16.41,2.11,,,
274,03-19-2023 09:30:00,30.35,16.49,2.16,,,
275,03-19-2023 09:40:00,30.35,16.52,2.18,,,
276,03-19-2023 09:50:00,30.36,16.47,2.15,,,
277,03-19-2023 10:00:00,30.36,16.76,2.40,,,
278,03-19-2023 10:10:00,30.34,17.03,2.60,,,
279,03-19-2023 10:20:00,30.38,16.99,2.60,,,
280,03-19-2023 10:30:00,30.37,16.85,2.48,,,
281,03-19-2023 10:40:00,30.35,16.97,2.56,,,
282,03-19-2023 10:50:00,30.33,16.82,2.42,,,
283,03-19-2023 11:00:00,30.34,16.65,2.29,,,
284,03-19-2023 11:10:00,30.33,16.62,2.25,,,
285,03-19-2023 11:20:00,30.33,16.59,2.23,,,
286,03-19-2023 11:30:00,30.36,16.59,2.25,,,
287,03-19-2023 11:40:00,30.34,16.67,2.30,,,
288,03-19-2023 11:50:00,30.33,16.79,2.40,,,
289,03-19-2023 12:00:00,30.35,16.86,2.47,,,
290,03-19-2023 12:10:00,30.33,17.18,2.72,,,
291,03-19-2023 12:20:00,30.33,17.33,2.84,,,
292,03-19-2023 12:30:00,30.33,17.69,3.13,,,
293,03-19-2023 12:40:00,30.33,18.01,3.39,,,
294,03-19-2023 12:50:00,30.32,18.01,3.38,,,
295,03-19-2023 13:00:00,30.31,17.58,3.02,,,
296,03-19-2023 13:10:00,30.33,17.47,2.95,,,
297,03-19-2023 13:20:00,30.35,17.42,2.93,,,
298,03-19-2023 13:30:00,30.31,17.59,3.03,,,
299,03-19-2023 13:40:00,30.33,17.82,3.23,,,
300,03-19-2023 13:50:00,30.34,17.94,3.33,,,
301,03-19-2023 14:00:00,30.32,17.76,3.17,,,
302,03-19-2023 14:10:00,30.33,17.63,3.09,,,
303,03-19-2023 14:20:00,30.32,17.86,3.26,,,
304,03-19-2023 14:30:00,30.32,17.86,3.26,,,
305,03-19-2023 14:40:00,30.35,17.63,3.10,,,
306,03-19-2023 14:50:00,30.33,17.38,2.88,,,
307,03-19-2023 15:00:00,30.33,16.94,2.52,,,
308,03-19-2023 15:10:00,30.32,16.86,2.45,,,
309,03-19-2023 15:20:00,30.35,16.71,2.35,,,
310,03-19-2023 15:30:00,30.34,16.58,2.22,,,
311,03-19-2023 15:40:00,30.36,16.50,2.18,,,
312,03-19-2023 15:50:00,30.37,16.22,1.94,,,
313,03-19-2023 16:00:00,30.37,16.37,2.07,,,
314,03-19-2023 16:10:00,30.36,16.06,1.80,,,
315,03-19-2023 16:20:00,30.33,16.23,1.92,,,
316,03-19-2023 16:30:00,30.35,16.41,2.09,,,
317,03-19-2023 16:40:00,30.33,16.47,2.12,,,
318,03-19-2023 16:50:00,30.36,16.62,2.28,,,
319,03-19-2023 17:00:00,30.35,16.62,2.27,,,
320,03-19-2023 17:10:00,30.37,16.70,2.35,,,
321,03-19-2023 17:20:00,30.36,16.73,2.37,,,
322,03-19-2023 17:30:00,30.37,16.59,2.26,,,
323,03-19-2023 17:40:00,30.39,16.71,2.38,,,
324,03-19-2023 17:50:00,30.36,16.38,2.07,,,
325,03-19-2023 18:00:00,30.37,16.47,2.16,,,
326,03-19-2023 18:10:00,30.37,16.34,2.05,,,
327,03-19-2023 18:20:00,30.36,15.94,1.70,,,
328,03-19-2023 18:30:00,30.36,16.04,1.78,,,
329,03-19-2023 18:40:00,30.37,16.02,1.77,,,
330,03-19-2023 18:50:00,30.36,16.09,1.83,,,
331,03-19-2023 19:00:00,30.41,16.40,2.13,,,
332,03-19-2023 19:10:00,30.40,16.52,2.23,,,
333,03-19-2023 19:20:00,30.37,16.50,2.19,,,
334,03-19-2023 19:30:00,30.35,16.47,2.14,,,
335,03-19-2023 19:40:00,30.37,16.55,2.23,,,
336,03-19-2023 19:50:00,30.36,16.85,2.47,,,
337,03-19-2023 20:00:00,30.36,17.76,3.21,,,
338,03-19-2023 20:10:00,30.37,18.17,3.54,,,
339,03-19-2023 20:20:00,30.39,18.47,3.79,,,
340,03-19-2023 20:30:00,30.36,18.66,3.92,,,
341,03-19-2023 20:40:00,30.38,18.70,3.96,,,
342,03-19-2023 20:50:00,30.35,18.56,3.83,,,
343,03-19-2023 21:00:00,30.38,18.47,3.78,,,
344,03-19-2023 21:10:00,30.38,18.24,3.61,,,
345,03-19-2023 21:20:00,30.38,17.95,3.38,,,
346,03-19-2023 21:30:00,30.37,17.95,3.37,,,
347,03-19-2023 21:40:00,30.36,18.04,3.43,,,
348,03-19-2023 21:50:00,30.37,18.09,3.48,,,
349,03-19-2023 22:00:00,30.33,18.06,3.42,,,
350,03-19-2023 22:10:00,27.72,19.95,2.70,,,
351,03-19-2023 22:20:00,20.73,28.54,1.85,,,
352,03-19-2023 22:30:00,19.72,31.34,2.28,,,
353,03-19-2023 22:40:00,19.75,31.51,2.39,,,
354,03-19-2023 22:50:00,19.82,31.57,2.47,,,
355,03-19-2023 23:00:00,19.88,31.51,2.50,,,
356,03-19-2023 23:10:00,19.91,31.80,2.66,,,
357,03-19-2023 23:20:00,19.92,33.06,3.21,,,
358,03-19-2023 23:30:00,19.94,33.44,3.38,,,
359,03-19-2023 23:40:00,19.92,33.60,3.45,,,
360,03-19-2023 23:50:00,19.95,33.81,3.55,,,
361,03-20-2023 00:00:00,19.98,33.69,3.53,,,
362,03-20-2023 00:10:00,19.96,33.66,3.50,,,
363,03-20-2023 00:20:00,19.99,33.59,3.50,,,
364,03-20-2023 00:30:00,19.98,33.57,3.48,,,
365,03-20-2023 00:40:00,20.00,33.56,3.49,,,
366,03-20-2023 00:50:00,19.99,33.56,3.48,,,
367,03-20-2023 01:00:00,19.98,33.44,3.42,,,
368,03-20-2023 01:10:00,20.01,33.34,3.41,,,
369,03-20-2023 01:20:00,19.99,33.52,3.47,,,
370,03-20-2023 01:30:00,19.98,33.91,3.62,,,
371,03-20-2023 01:40:00,20.00,34.06,3.70,,,
372,03-20-2023 01:50:00,20.01,34.04,3.70,,,
373,03-20-2023 02:00:00,19.98,33.82,3.58,,,
374,03-20-2023 02:10:00,20.01,33.75,3.58,,,
375,03-20-2023 02:20:00,20.01,33.96,3.67,,,
376,03-20-2023 02:30:00,20.03,34.04,3.72,,,
377,03-20-2023 02:40:00,19.99,33.74,3.56,,,
378,03-20-2023 02:50:00,19.98,33.70,3.53,,,
379,03-20-2023 03:00:00,20.00,34.39,3.84,,,
380,03-20-2023 03:10:00,19.99,34.99,4.08,,,
381,03-20-2023 03:20:00,19.98,35.17,4.14,,,
382,03-20-2023 03:30:00,19.98,35.42,4.24,,,
383,03-20-2023 03:40:00,19.99,35.61,4.33,,,
384,03-20-2023 03:50:00,20.01,35.68,4.38,,,
385,03-20-2023 04:00:00,19.98,35.68,4.35,,,
386,03-20-2023 04:10:00,20.01,35.61,4.34,,,
387,03-20-2023 04:20:00,19.98,35.17,4.14,,,
388,03-20-2023 04:30:00,19.98,35.03,4.08,,,
389,03-20-2023 04:40:00,19.98,34.77,3.98,,,
390,03-20-2023 04:50:00,20.01,34.74,3.99,,,
391,03-20-2023 05:00:00,19.98,34.52,3.87,,,
392,03-20-2023 05:10:00,20.01,34.13,3.74,,,
393,03-20-2023 05:20:00,19.99,33.87,3.61,,,
394,03-20-2023 05:30:00,19.99,33.81,3.59,,,
395,03-20-2023 05:40:00,20.00,33.96,3.66,,,
396,03-20-2023 05:50:00,20.03,33.98,3.70,,,
397,03-20-2023 06:00:00,20.04,33.96,3.70,,,
398,03-20-2023 06:10:00,22.33,31.27,4.52,,,
399,03-20-2023 06:20:00,28.93,22.93,5.69,,,
400,03-20-2023 06:30:00,30.49,20.80,5.57,,,
401,03-20-2023 06:40:00,30.53,20.77,5.59,,,
402,03-20-2023 06:50:00,30.49,20.82,5.59,,,
403,03-20-2023 07:00:00,30.46,20.92,5.63,,,
404,03-20-2023 07:10:00,30.44,20.98,5.65,,,
405,03-20-2023 07:20:00,30.42,20.95,5.62,,,
406,03-20-2023 07:30:00,30.40,20.93,5.59,,,
407,03-20-2023 07:40:00,30.40,20.93,5.59,,,
408,03-20-2023 07:50:00,30.40,20.88,5.55,,,
409,03-20-2023 08:00:00,30.37,21.01,5.62,,,
410,03-20-2023 08:10:00,30.37,21.14,5.71,,,
411,03-20-2023 08:20:00,30.33,21.26,5.76,,,
412,03-20-2023 08:30:00,30.32,21.23,5.73,,,
413,03-20-2023 08:40:00,30.35,21.23,5.75,,,
414,03-20-2023 08:50:00,30.35,21.40,5.87,,,
415,03-20-2023 09:00:00,30.36,21.58,6.00,,,
416,03-20-2023 09:10:00,30.36,21.63,6.03,,,
417,03-20-2023 09:20:00,30.35,21.69,6.06,,,
418,03-20-2023 09:30:00,30.35,21.75,6.10,,,
419,03-20-2023 09:40:00,30.35,21.79,6.13,,,
420,03-20-2023 09:50:00,30.36,21.78,6.13,,,
421,03-20-2023 10:00:00,30.33,21.87,6.16,,,
422,03-20-2023 10:10:00,30.33,21.99,6.24,,,
423,03-20-2023 10:20:00,30.37,21.96,6.26,,,
424,03-20-2023 10:30:00,30.35,22.08,6.32,,,
425,03-20-2023 10:40:00,30.35,22.17,6.38,,,
426,03-20-2023 10:50:00,30.32,22.23,6.39,,,
427,03-20-2023 11:00:00,30.34,22.29,6.45,,,
428,03-20-2023 11:10:00,30.34,22.29,6.45,,,
429,03-20-2023 11:20:00,30.32,22.43,6.52,,,
430,03-20-2023 11:30:00,30.35,22.40,6.53,,,
431,03-20-2023 11:40:00,30.33,22.41,6.52,,,
432,03-20-2023 11:50:00,30.35,22.40,6.53,,,
433,03-20-2023 11:53:04,,,,Logged,,
434,03-20-2023 12:00:00,30.55,22.47,6.74,,,
435,03-20-2023 12:10:00,30.25,27.76,9.61,,,
436,03-20-2023 12:13:43,,,,Logged,,
437,03-20-2023 12:20:00,30.28,28.48,10.02,,,
438,03-20-2023 12:30:00,30.27,28.95,10.25,,,
439,03-20-2023 12:40:00,30.27,29.39,10.48,,,
440,03-20-2023 12:50:00,30.30,29.67,10.64,,,
441,03-20-2023 13:00:00,30.28,30.01,10.80,,,
442,03-20-2023 13:10:00,30.33,30.08,10.87,,,
443,03-20-2023 13:20:00,30.27,30.22,10.90,,,
444,03-20-2023 13:30:00,30.30,30.34,10.97,,,
445,03-20-2023 13:40:00,30.30,30.39,11.00,,,
446,03-20-2023 13:50:00,30.32,30.52,11.08,,,
447,03-20-2023 14:00:00,30.30,30.52,11.06,,,
448,03-20-2023 14:10:00,30.33,30.66,11.16,,,
449,03-20-2023 14:20:00,30.30,31.08,11.34,,,
450,03-20-2023 14:30:00,30.30,30.77,11.19,,,
451,03-20-2023 14:40:00,30.35,30.80,11.25,,,
452,03-20-2023 14:50:00,30.32,30.94,11.29,,,
453,03-20-2023 14:58:51,,,,Logged,,
454,03-20-2023 15:00:00,30.36,30.91,11.31,,,
455,03-20-2023 15:10:00,30.32,31.05,11.34,,,
456,03-20-2023 15:20:00,30.30,31.17,11.38,,,
457,03-20-2023 15:30:00,30.30,31.04,11.32,,,
458,03-20-2023 15:40:00,30.33,31.35,11.49,,,
459,03-20-2023 15:50:00,30.30,31.23,11.41,,,
460,03-20-2023 16:00:00,30.30,31.28,11.43,,,
461,03-20-2023 16:10:00,30.30,31.24,11.42,,,
462,03-20-2023 16:20:00,30.30,31.32,11.45,,,
