#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
72,03-17-2023 23:50:00,3.20,76.64,-0.50,,
73,03-18-2023 00:00:00,3.12,84.60,0.78,,
74,03-18-2023 00:10:00,3.13,84.43,0.76,,
75,03-18-2023 00:20:00,3.23,78.11,-0.22,,
76,03-18-2023 00:30:00,3.21,84.90,0.92,,
77,03-18-2023 00:40:00,3.10,85.06,0.83,,
78,03-18-2023 00:50:00,3.18,78.13,-0.26,,
79,03-18-2023 01:00:00,3.16,84.98,0.88,,
80,03-18-2023 01:10:00,3.16,85.95,1.04,,
81,03-18-2023 01:20:00,3.23,76.42,-0.52,,
82,03-18-2023 01:30:00,3.14,84.07,0.71,,
83,03-18-2023 01:40:00,3.05,85.14,0.80,,
84,03-18-2023 01:50:00,3.20,78.23,-0.22,,
85,03-18-2023 02:00:00,3.21,85.04,0.95,,
86,03-18-2023 02:10:00,3.10,85.88,0.97,,
87,03-18-2023 02:20:00,3.19,78.03,-0.26,,
88,03-18-2023 02:30:00,3.14,85.20,0.90,,
89,03-18-2023 02:40:00,3.17,86.75,1.18,,
90,03-18-2023 02:50:00,3.25,76.28,-0.52,,
91,03-18-2023 03:00:00,3.14,84.23,0.74,,
92,03-18-2023 03:10:00,3.04,85.71,0.89,,
93,03-18-2023 03:20:00,3.21,77.76,-0.29,,
94,03-18-2023 03:30:00,3.21,84.72,0.89,,
95,03-18-2023 03:40:00,3.10,86.21,1.02,,
96,03-18-2023 03:50:00,3.19,77.89,-0.29,,
97,03-18-2023 04:00:00,3.13,84.85,0.83,,
98,03-18-2023 04:10:00,3.14,87.38,1.25,,
99,03-18-2023 04:20:00,3.26,76.30,-0.51,,
100,03-18-2023 04:30:00,3.16,84.04,0.73,,
101,03-18-2023 04:40:00,3.04,86.23,0.97,,
102,03-18-2023 04:50:00,3.23,78.32,-0.18,,
103,03-18-2023 05:00:00,3.24,84.97,0.96,,
104,03-18-2023 05:10:00,3.09,86.67,1.08,,
105,03-18-2023 05:20:00,3.16,77.80,-0.34,,
106,03-18-2023 05:30:00,3.13,84.80,0.82,,
107,03-18-2023 05:40:00,3.15,87.94,1.35,,
108,03-18-2023 05:50:00,3.20,75.79,-0.65,,
109,03-18-2023 06:00:00,3.16,83.54,0.65,,
110,03-18-2023 06:10:00,3.03,86.39,0.98,,
111,03-18-2023 06:20:00,3.17,78.25,-0.24,,
112,03-18-2023 06:30:00,3.24,84.12,0.82,,
113,03-18-2023 06:40:00,3.09,86.87,1.11,,
114,03-18-2023 06:50:00,3.20,77.49,-0.35,,
115,03-18-2023 07:00:00,4.13,78.83,0.79,,
116,03-18-2023 07:10:00,4.57,79.99,1.42,,
117,03-18-2023 07:20:00,4.72,65.55,-1.18,,
118,03-18-2023 07:30:00,4.64,72.88,0.20,,
119,03-18-2023 07:40:00,4.57,76.21,0.75,,
120,03-18-2023 07:50:00,4.72,66.82,-0.92,,
121,03-18-2023 08:00:00,4.75,70.60,-0.13,,
122,03-18-2023 08:10:00,4.65,75.39,0.68,,
123,03-18-2023 08:20:00,4.66,65.89,-1.16,,
124,03-18-2023 08:30:00,4.64,71.44,-0.07,,
125,03-18-2023 08:40:00,4.68,76.51,0.91,,
126,03-18-2023 08:50:00,4.75,63.50,-1.58,,
127,03-18-2023 09:00:00,4.66,71.10,-0.12,,
128,03-18-2023 09:10:00,4.59,74.79,0.51,,
129,03-18-2023 09:20:00,4.68,66.62,-0.99,,
130,03-18-2023 09:30:00,4.75,68.80,-0.49,,
131,03-18-2023 09:40:00,4.65,74.75,0.56,,
132,03-18-2023 09:50:00,4.75,65.74,-1.11,,
133,03-18-2023 10:00:00,4.66,70.98,-0.14,,
134,03-18-2023 10:10:00,4.76,75.94,0.88,,
135,03-18-2023 10:20:00,4.80,63.57,-1.52,,
136,03-18-2023 10:30:00,4.72,69.67,-0.35,,
137,03-18-2023 10:40:00,4.63,74.11,0.42,,
138,03-18-2023 10:50:00,4.79,67.65,-0.68,,
139,03-18-2023 11:00:00,4.83,67.08,-0.75,,
140,03-18-2023 11:10:00,4.71,74.35,0.54,,
141,03-18-2023 11:20:00,4.76,65.61,-1.13,,
142,03-18-2023 11:30:00,4.73,70.19,-0.23,,
143,03-18-2023 11:40:00,4.79,75.41,0.82,,
144,03-18-2023 11:50:00,4.82,64.55,-1.29,,
145,03-18-2023 12:00:00,4.73,69.16,-0.44,,
146,03-18-2023 12:10:00,4.65,73.84,0.39,,
147,03-18-2023 12:20:00,4.80,68.94,-0.41,,
148,03-18-2023 12:30:00,4.83,67.61,-0.65,,
149,03-18-2023 12:40:00,4.68,73.95,0.44,,
150,03-18-2023 12:50:00,4.78,66.68,-0.89,,
151,03-18-2023 13:00:00,4.71,69.88,-0.31,,
152,03-18-2023 13:10:00,4.83,74.54,0.70,,
153,03-18-2023 13:20:00,4.79,65.62,-1.09,,
154,03-18-2023 13:30:00,4.73,68.94,-0.48,,
155,03-18-2023 13:40:00,4.64,73.81,0.38,,
156,03-18-2023 13:50:00,4.79,70.04,-0.20,,
157,03-18-2023 14:00:00,4.84,66.10,-0.94,,
158,03-18-2023 14:10:00,4.68,73.80,0.42,,
159,03-18-2023 14:20:00,4.77,66.96,-0.84,,
160,03-18-2023 14:30:00,4.76,69.52,-0.34,,
161,03-18-2023 14:40:00,4.91,74.35,0.74,,
162,03-18-2023 14:50:00,4.78,66.36,-0.95,,
163,03-18-2023 15:00:00,4.74,67.50,-0.76,,
164,03-18-2023 15:10:00,4.66,72.65,0.18,,
165,03-18-2023 15:20:00,4.86,70.34,-0.08,,
166,03-18-2023 15:30:00,4.87,64.23,-1.31,,
167,03-18-2023 15:40:00,4.72,72.21,0.15,,
168,03-18-2023 15:50:00,4.81,66.76,-0.84,,
169,03-18-2023 16:00:00,4.75,68.29,-0.59,,
170,03-18-2023 16:10:00,4.86,72.98,0.43,,
171,03-18-2023 16:20:00,4.75,67.19,-0.81,,
172,03-18-2023 16:30:00,4.78,65.21,-1.19,,
173,03-18-2023 16:40:00,4.69,71.51,-0.01,,
174,03-18-2023 16:50:00,4.83,71.19,0.06,,
175,03-18-2023 17:00:00,4.87,62.65,-1.65,,
176,03-18-2023 17:10:00,4.68,71.37,-0.05,,
177,03-18-2023 17:20:00,4.76,67.25,-0.79,,
178,03-18-2023 17:30:00,4.77,67.53,-0.72,,
179,03-18-2023 17:40:00,4.88,71.66,0.19,,
180,03-18-2023 17:50:00,4.75,68.45,-0.56,,
181,03-18-2023 18:00:00,4.77,64.55,-1.34,,
182,03-18-2023 18:10:00,4.65,71.42,-0.07,,
183,03-18-2023 18:20:00,4.83,72.73,0.36,,
184,03-18-2023 18:30:00,4.82,62.12,-1.81,,
185,03-18-2023 18:40:00,4.68,70.64,-0.19,,
186,03-18-2023 18:50:00,4.75,68.10,-0.63,,
187,03-18-2023 19:00:00,3.74,72.10,-0.82,,
188,03-18-2023 19:10:00,3.39,80.36,0.33,,
189,03-18-2023 19:20:00,3.19,78.75,-0.14,,
190,03-18-2023 19:30:00,3.21,74.07,-0.96,,
191,03-18-2023 19:40:00,3.10,83.09,0.51,,
192,03-18-2023 19:50:00,3.29,82.41,0.58,,
193,03-18-2023 20:00:00,3.27,73.50,-1.01,,
194,03-18-2023 20:10:00,3.17,82.74,0.52,,
195,03-18-2023 20:20:00,3.14,79.56,-0.05,,
196,03-18-2023 20:30:00,3.23,78.84,-0.09,,
197,03-18-2023 20:40:00,3.26,84.16,0.84,,
198,03-18-2023 20:50:00,3.14,81.89,0.35,,
199,03-18-2023 21:00:00,3.20,74.84,-0.82,,
200,03-18-2023 21:10:00,3.09,83.96,0.64,,
201,03-18-2023 21:20:00,3.24,83.94,0.79,,
202,03-18-2023 21:30:00,3.23,73.60,-1.03,,
203,03-18-2023 21:40:00,3.12,83.11,0.53,,
204,03-18-2023 21:50:00,3.15,81.05,0.22,,
205,03-18-2023 22:00:00,3.24,79.01,-0.05,,
206,03-18-2023 22:10:00,3.26,83.86,0.79,,
207,03-18-2023 22:20:00,3.13,83.25,0.57,,
208,03-18-2023 22:30:00,3.18,74.60,-0.89,,
209,03-18-2023 22:40:00,3.09,84.20,0.68,,
210,03-18-2023 22:50:00,3.23,84.54,0.87,,
211,03-18-2023 23:00:00,3.25,73.42,-1.04,,
212,03-18-2023 23:10:00,3.14,82.85,0.51,,
213,03-18-2023 23:20:00,3.09,81.89,0.30,,
214,03-18-2023 23:30:00,3.23,78.90,-0.08,,
215,03-18-2023 23:40:00,3.23,82.95,0.61,,
216,03-18-2023 23:50:00,3.10,84.18,0.69,,
217,03-19-2023 00:00:00,3.19,74.38,-0.92,,
218,03-19-2023 00:10:00,3.08,83.86,0.61,,
219,03-19-2023 00:20:00,3.24,85.24,1.00,,
220,03-19-2023 00:30:00,3.26,73.28,-1.06,,
221,03-19-2023 00:40:00,3.11,82.29,0.38,,
222,03-19-2023 00:50:00,3.06,82.87,0.44,,
223,03-19-2023 01:00:00,3.21,79.07,-0.06,,
224,03-19-2023 01:10:00,3.24,82.65,0.57,,
225,03-19-2023 01:20:00,3.10,84.81,0.79,,
226,03-19-2023 01:30:00,3.20,73.88,-1.00,,
227,03-19-2023 01:40:00,3.06,83.80,0.59,,
228,03-19-2023 01:50:00,3.23,85.63,1.05,,
229,03-19-2023 02:00:00,3.24,72.95,-1.14,,
230,03-19-2023 02:10:00,3.15,81.66,0.32,,
231,03-19-2023 02:20:00,3.03,83.32,0.48,,
232,03-19-2023 02:30:00,3.21,78.84,-0.10,,
233,03-19-2023 02:40:00,3.26,81.93,0.47,,
234,03-19-2023 02:50:00,3.11,85.23,0.87,,
235,03-19-2023 03:00:00,3.18,73.56,-1.08,,
236,03-19-2023 03:10:00,3.09,83.85,0.62,,
237,03-19-2023 03:20:00,3.23,86.05,1.12,,
238,03-19-2023 03:30:00,3.21,72.84,-1.18,,
239,03-19-2023 03:40:00,3.11,80.94,0.16,,
240,03-19-2023 03:50:00,3.05,83.66,0.56,,
241,03-19-2023 04:00:00,3.19,78.38,-0.20,,
242,03-19-2023 04:10:00,3.23,81.66,0.39,,
243,03-19-2023 04:20:00,3.09,85.49,0.89,,
244,03-19-2023 04:30:00,3.20,73.20,-1.13,,
245,03-19-2023 04:40:00,3.09,83.67,0.59,,
246,03-19-2023 04:50:00,3.23,86.15,1.14,,
247,03-19-2023 05:00:00,3.26,72.52,-1.20,,
248,03-19-2023 05:10:00,3.14,80.49,0.11,,
249,03-19-2023 05:20:00,3.03,84.08,0.61,,
250,03-19-2023 05:30:00,3.23,78.19,-0.20,,
251,03-19-2023 05:40:00,3.26,80.66,0.26,,
252,03-19-2023 05:50:00,3.11,85.79,0.96,,
253,03-19-2023 06:00:00,3.20,72.98,-1.17,,
254,03-19-2023 06:10:00,3.10,83.38,0.56,,
255,03-19-2023 06:20:00,3.24,86.16,1.15,,
256,03-19-2023 06:30:00,3.23,72.61,-1.22,,
257,03-19-2023 06:40:00,3.16,79.64,-0.01,,
258,03-19-2023 06:50:00,3.02,84.39,0.65,,
259,03-19-2023 07:00:00,4.23,71.98,-0.36,,
260,03-19-2023 07:10:00,4.69,71.46,-0.02,,
261,03-19-2023 07:20:00,4.63,76.12,0.79,,
262,03-19-2023 07:30:00,4.71,62.65,-1.81,,
263,03-19-2023 07:40:00,4.64,70.65,-0.23,,
264,03-19-2023 07:50:00,4.78,75.02,0.74,,
265,03-19-2023 08:00:00,4.75,61.29,-2.06,,
266,03-19-2023 08:10:00,4.66,68.60,-0.61,,
267,03-19-2023 08:20:00,4.61,73.09,0.21,,
268,03-19-2023 08:30:00,4.77,65.92,-1.05,,
269,03-19-2023 08:40:00,4.79,66.15,-0.98,,
270,03-19-2023 08:50:00,4.67,73.66,0.38,,
271,03-19-2023 09:00:00,4.74,61.99,-1.92,,
272,03-19-2023 09:10:00,4.68,69.59,-0.39,,
273,03-19-2023 09:20:00,4.83,74.12,0.62,,
274,03-19-2023 09:30:00,4.79,60.02,-2.30,,
275,03-19-2023 09:40:00,4.72,67.28,-0.83,,
276,03-19-2023 09:50:00,4.61,72.46,0.09,,
277,03-19-2023 10:00:00,4.77,65.95,-1.05,,
278,03-19-2023 10:10:00,4.83,64.36,-1.32,,
279,03-19-2023 10:20:00,4.68,73.05,0.27,,
280,03-19-2023 10:30:00,4.79,60.93,-2.10,,
281,03-19-2023 10:40:00,4.68,68.98,-0.51,,
282,03-19-2023 10:50:00,4.84,73.42,0.50,,
283,03-19-2023 11:00:00,4.80,60.31,-2.23,,
284,03-19-2023 11:10:00,4.74,66.61,-0.94,,
285,03-19-2023 11:20:00,4.65,72.21,0.08,,
286,03-19-2023 11:30:00,4.80,66.94,-0.81,,
287,03-19-2023 11:40:00,4.86,63.93,-1.39,,
288,03-19-2023 11:50:00,4.68,72.50,0.17,,
289,03-19-2023 12:00:00,4.81,62.81,-1.67,,
290,03-19-2023 12:10:00,4.72,68.92,-0.50,,
291,03-19-2023 12:20:00,4.84,73.23,0.46,,
292,03-19-2023 12:30:00,4.78,62.23,-1.82,,
293,03-19-2023 12:40:00,4.75,65.78,-1.10,,
294,03-19-2023 12:50:00,4.64,72.21,0.07,,
295,03-19-2023 13:00:00,4.77,68.30,-0.57,,
296,03-19-2023 13:10:00,4.84,63.51,-1.49,,
297,03-19-2023 13:20:00,4.68,72.22,0.12,,
298,03-19-2023 13:30:00,4.76,64.43,-1.37,,
299,03-19-2023 13:40:00,4.73,68.64,-0.54,,
300,03-19-2023 13:50:00,4.88,72.75,0.40,,
301,03-19-2023 14:00:00,4.77,64.30,-1.39,,
302,03-19-2023 14:10:00,4.77,65.58,-1.12,,
303,03-19-2023 14:20:00,4.65,72.13,0.07,,
304,03-19-2023 14:30:00,4.82,69.69,-0.24,,
305,03-19-2023 14:40:00,4.88,63.06,-1.55,,
306,03-19-2023 14:50:00,4.68,71.97,0.07,,
307,03-19-2023 15:00:00,4.81,65.44,-1.11,,
308,03-19-2023 15:10:00,4.73,69.33,-0.40,,
309,03-19-2023 15:20:00,4.88,71.87,0.24,,
310,03-19-2023 15:30:00,4.76,65.50,-1.15,,
311,03-19-2023 15:40:00,4.75,65.03,-1.26,,
312,03-19-2023 15:50:00,4.64,72.04,0.04,,
313,03-19-2023 16:00:00,4.83,71.11,0.05,,
314,03-19-2023 16:10:00,4.84,62.62,-1.68,,
315,03-19-2023 16:20:00,4.68,71.32,-0.06,,
316,03-19-2023 16:30:00,4.78,66.27,-0.97,,
317,03-19-2023 16:40:00,4.72,68.33,-0.61,,
318,03-19-2023 16:50:00,4.87,70.66,-0.01,,
319,03-19-2023 17:00:00,4.76,66.98,-0.85,,
320,03-19-2023 17:10:00,4.78,65.23,-1.19,,
321,03-19-2023 17:20:00,4.64,71.91,0.02,,
322,03-19-2023 17:30:00,4.83,72.54,0.32,,
323,03-19-2023 17:40:00,4.82,62.28,-1.77,,
324,03-19-2023 17:50:00,4.71,71.09,-0.08,,
325,03-19-2023 18:00:00,4.75,67.15,-0.82,,
326,03-19-2023 18:10:00,4.71,68.40,-0.61,,
327,03-19-2023 18:20:00,4.83,70.50,-0.07,,
328,03-19-2023 18:30:00,4.75,68.52,-0.54,,
329,03-19-2023 18:40:00,4.78,64.12,-1.42,,
330,03-19-2023 18:50:00,4.62,71.52,-0.08,,
331,03-19-2023 19:00:00,3.78,78.07,0.32,,
332,03-19-2023 19:10:00,3.39,70.16,-1.53,,
333,03-19-2023 19:20:00,3.16,80.89,0.20,,
334,03-19-2023 19:30:00,3.17,77.50,-0.38,,
335,03-19-2023 19:40:00,3.21,78.22,-0.21,,
336,03-19-2023 19:50:00,3.27,82.98,0.66,,
337,03-19-2023 20:00:00,3.15,80.53,0.13,,
338,03-19-2023 20:10:00,3.20,74.04,-0.97,,
339,03-19-2023 20:20:00,3.03,83.62,0.53,,
340,03-19-2023 20:30:00,3.26,83.88,0.80,,
341,03-19-2023 20:40:00,3.26,73.45,-1.03,,
342,03-19-2023 20:50:00,3.12,83.41,0.58,,
343,03-19-2023 21:00:00,3.13,79.74,-0.03,,
344,03-19-2023 21:10:00,3.16,79.74,0.00,,
345,03-19-2023 21:20:00,3.23,84.16,0.81,,
346,03-19-2023 21:30:00,3.13,82.62,0.46,,
347,03-19-2023 21:40:00,3.20,74.98,-0.80,,
348,03-19-2023 21:50:00,3.06,84.37,0.69,,
349,03-19-2023 22:00:00,3.26,84.79,0.95,,
350,03-19-2023 22:10:00,3.26,73.84,-0.96,,
351,03-19-2023 22:20:00,3.14,83.49,0.62,,
352,03-19-2023 22:30:00,3.13,81.06,0.20,,
353,03-19-2023 22:40:00,3.18,80.05,0.08,,
354,03-19-2023 22:50:00,3.24,84.12,0.82,,
355,03-19-2023 23:00:00,3.13,83.73,0.65,,
356,03-19-2023 23:10:00,3.19,74.91,-0.82,,
357,03-19-2023 23:20:00,3.06,84.38,0.69,,
358,03-19-2023 23:30:00,3.26,85.19,1.01,,
359,03-19-2023 23:40:00,3.24,73.92,-0.96,,
360,03-19-2023 23:50:00,3.16,83.35,0.61,,
361,03-20-2023 00:00:00,3.09,82.32,0.37,,
362,03-20-2023 00:10:00,3.20,80.22,0.13,,
363,03-20-2023 00:20:00,3.24,83.79,0.76,,
364,03-20-2023 00:30:00,3.13,84.77,0.82,,
365,03-20-2023 00:40:00,3.19,75.10,-0.79,,
366,03-20-2023 00:50:00,3.06,84.83,0.76,,
367,03-20-2023 01:00:00,3.23,85.83,1.08,,
368,03-20-2023 01:10:00,3.23,73.84,-0.99,,
369,03-20-2023 01:20:00,3.16,83.33,0.61,,
370,03-20-2023 01:30:00,3.10,83.29,0.54,,
371,03-20-2023 01:40:00,3.20,80.26,0.13,,
372,03-20-2023 01:50:00,3.26,83.82,0.79,,
373,03-20-2023 02:00:00,3.13,85.43,0.92,,
374,03-20-2023 02:10:00,3.20,75.10,-0.78,,
375,03-20-2023 02:20:00,3.10,84.71,0.78,,
376,03-20-2023 02:30:00,3.26,86.16,1.17,,
377,03-20-2023 02:40:00,3.23,73.99,-0.96,,
378,03-20-2023 02:50:00,3.17,82.89,0.55,,
379,03-20-2023 03:00:00,3.08,83.57,0.57,,
380,03-20-2023 03:10:00,3.19,80.20,0.11,,
381,03-20-2023 03:20:00,3.23,83.09,0.64,,
382,03-20-2023 03:30:00,3.11,85.95,0.99,,
383,03-20-2023 03:40:00,3.20,74.99,-0.80,,
384,03-20-2023 03:50:00,3.08,84.69,0.75,,
385,03-20-2023 04:00:00,3.23,86.33,1.16,,
386,03-20-2023 04:10:00,3.23,73.68,-1.02,,
387,03-20-2023 04:20:00,3.16,82.66,0.50,,
388,03-20-2023 04:30:00,3.04,84.29,0.65,,
389,03-20-2023 04:40:00,3.26,80.10,0.16,,
390,03-20-2023 04:50:00,3.26,82.67,0.60,,
391,03-20-2023 05:00:00,3.11,86.38,1.06,,
392,03-20-2023 05:10:00,3.20,74.82,-0.83,,
393,03-20-2023 05:20:00,3.09,84.48,0.73,,
394,03-20-2023 05:30:00,3.23,86.64,1.22,,
395,03-20-2023 05:40:00,3.21,73.66,-1.03,,
396,03-20-2023 05:50:00,3.14,82.05,0.38,,
397,03-20-2023 06:00:00,3.06,84.55,0.72,,
398,03-20-2023 06:10:00,3.23,79.82,0.08,,
399,03-20-2023 06:20:00,3.25,81.84,0.45,,
400,03-20-2023 06:30:00,3.12,86.71,1.12,,
401,03-20-2023 06:40:00,3.20,74.76,-0.84,,
402,03-20-2023 06:50:00,3.09,84.49,0.73,,
403,03-20-2023 07:00:00,4.26,81.58,1.39,,
404,03-20-2023 07:10:00,4.66,65.00,-1.35,,
405,03-20-2023 07:20:00,4.67,72.17,0.10,,
406,03-20-2023 07:30:00,4.61,74.64,0.50,,
407,03-20-2023 07:40:00,4.76,68.57,-0.52,,
408,03-20-2023 07:50:00,4.80,67.71,-0.66,,
409,03-20-2023 08:00:00,4.68,74.49,0.54,,
410,03-20-2023 08:10:00,4.77,63.30,-1.60,,
411,03-20-2023 08:20:00,4.69,70.98,-0.11,,
412,03-20-2023 08:30:00,4.83,74.78,0.74,,
413,03-20-2023 08:40:00,4.79,61.09,-2.06,,
414,03-20-2023 08:50:00,4.76,68.86,-0.47,,
415,03-20-2023 09:00:00,4.68,73.03,0.27,,
416,03-20-2023 09:10:00,4.80,67.06,-0.79,,
417,03-20-2023 09:20:00,4.88,66.41,-0.85,,
418,03-20-2023 09:30:00,4.71,73.87,0.45,,
419,03-20-2023 09:40:00,4.78,63.57,-1.54,,
420,03-20-2023 09:50:00,4.69,70.13,-0.28,,
421,03-20-2023 10:00:00,4.86,74.24,0.66,,
422,03-20-2023 10:10:00,4.83,60.28,-2.20,,
423,03-20-2023 10:20:00,4.76,68.03,-0.63,,
424,03-20-2023 10:30:00,4.64,72.85,0.20,,
425,03-20-2023 10:40:00,4.77,66.81,-0.87,,
426,03-20-2023 10:50:00,4.88,65.08,-1.13,,
427,03-20-2023 11:00:00,4.68,73.45,0.35,,
428,03-20-2023 11:10:00,4.78,62.67,-1.73,,
429,03-20-2023 11:20:00,4.68,70.18,-0.28,,
430,03-20-2023 11:30:00,4.87,73.87,0.60,,
431,03-20-2023 11:40:00,4.77,61.19,-2.06,,
432,03-20-2023 11:50:00,4.73,67.52,-0.77,,
433,03-20-2023 11:52:37,,,,Logged,
434,03-20-2023 12:00:00,4.63,73.10,0.23,,
435,03-20-2023 12:10:00,4.91,73.13,0.51,,
436,03-20-2023 12:20:00,4.39,71.21,-0.36,,
437,03-20-2023 12:30:00,4.03,79.42,0.79,,
438,03-20-2023 12:40:00,4.13,70.16,-0.82,,
439,03-20-2023 12:50:00,4.07,75.26,0.09,,
440,03-20-2023 13:00:00,4.16,78.88,0.83,,
441,03-20-2023 13:10:00,4.12,69.69,-0.92,,
442,03-20-2023 13:20:00,4.08,73.83,-0.16,,
443,03-20-2023 13:30:00,3.99,77.93,0.49,,
444,03-20-2023 13:40:00,4.18,74.05,-0.03,,
445,03-20-2023 13:50:00,4.17,71.35,-0.55,,
446,03-20-2023 14:00:00,4.07,78.89,0.74,,
447,03-20-2023 14:10:00,4.16,70.10,-0.80,,
448,03-20-2023 14:20:00,4.07,75.01,0.05,,
449,03-20-2023 14:30:00,4.18,78.22,0.73,,
450,03-20-2023 14:40:00,4.13,71.01,-0.65,,
451,03-20-2023 14:50:00,4.14,73.25,-0.22,,
452,03-20-2023 15:00:00,3.99,77.61,0.44,,
453,03-20-2023 15:10:00,4.15,74.95,0.11,,
454,03-20-2023 15:20:00,4.15,70.44,-0.74,,
455,03-20-2023 15:30:00,4.05,78.42,0.64,,
456,03-20-2023 15:40:00,4.14,71.07,-0.63,,
457,03-20-2023 15:50:00,4.08,74.89,0.04,,
458,03-20-2023 16:00:00,4.20,78.29,0.76,,
459,03-20-2023 16:10:00,4.10,71.95,-0.49,,
460,03-20-2023 16:20:00,4.09,72.00,-0.49,,
461,03-20-2023 16:30:00,4.00,77.24,0.38,,
462,03-20-2023 16:40:00,4.17,75.87,0.30,,
463,03-20-2023 16:50:00,4.20,69.66,-0.84,,
464,03-20-2023 17:00:00,4.07,77.96,0.58,,
465,03-20-2023 17:10:00,4.16,71.61,-0.51,,
466,03-20-2023 17:20:00,4.08,74.08,-0.11,,
467,03-20-2023 17:30:00,4.17,77.67,0.62,,
468,03-20-2023 17:40:00,4.10,73.01,-0.29,,
469,03-20-2023 17:50:00,4.12,71.07,-0.65,,
470,03-20-2023 18:00:00,3.98,77.23,0.36,,
